"Rk","Player","Pos","From","To","Wins"
1,"Kareem Abdul-Jabbar","C",1970,1989,1074
2,"Robert Parish","C",1977,1997,1014
3,"Tim Duncan","F",1998,2016,1001
4,"John Stockton","G",1985,2003,953
5,"Karl Malone","F",1986,2004,952
6,"Dirk Nowitzki","F",1999,2019,916
7,"Tony Parker","G",2002,2019,892
8,"LeBron James","F",2004,2021,863
9,"Derek Fisher","G",1997,2014,853
10,"Kobe Bryant","G",1997,2016,836
11,"Clifford Robinson","F",1990,2007,836
12,"Kevin Garnett","F",1996,2016,825
13,"John Havlicek","F",1963,1978,824
14,"Sam Perkins","F",1985,2001,824
15,"Gary Payton","G",1991,2007,823
16,"Shaquille O'Neal","C",1993,2011,819
17,"Jason Kidd","G",1995,2013,812
18,"Scottie Pippen","F",1988,2004,810
19,"Vince Carter","G",1999,2020,785
20,"A.C. Green","F",1986,2001,782
21,"Paul Silas","F",1965,1980,778
22,"Jason Terry","G",2000,2018,777
23,"Reggie Miller","G",1988,2005,767
24,"Steve Nash","G",1997,2014,764
25,"Manu GinÃ³bili","G",2003,2018,762
26,"Terry Porter","G",1986,2002,762
27,"Kevin Willis","F",1985,2007,760
28,"Horace Grant","F",1988,2004,758
29,"Paul Pierce","F",1999,2017,758
30,"Ray Allen","G",1997,2014,755
31,"Robert Horry","F",1993,2008,743
32,"Hakeem Olajuwon","C",1985,2002,732
33,"Moses Malone","C",1977,1995,726
34,"Dennis Johnson","G",1977,1990,723
35,"Kyle Korver","G",2004,2020,722
36,"Danny Ainge","G",1982,1995,719
37,"Charles Oakley","F",1986,2004,717
38,"Vlade Divac","C",1990,2005,711
39,"Buck Williams","F",1982,1998,711
40,"Jerome Kersey","F",1985,2001,710
41,"Michael Jordan","G",1985,2003,706
42,"Mark Jackson","G",1988,2004,703
43,"Detlef Schrempf","F",1986,2001,701
44,"Rasheed Wallace","F",1996,2013,699
45,"Andre Iguodala","G",2005,2021,694
46,"Byron Scott","G",1984,1997,693
47,"Shawn Marion","F",2000,2015,692
48,"Bill Russell","C",1957,1969,690
49,"Patrick Ewing","C",1986,2002,678
50,"Kevin McHale","F",1981,1993,674
51,"Maurice Cheeks","G",1979,1993,673
52,"Pau Gasol","C",2002,2019,673
53,"David Robinson","C",1990,2003,673
54,"Wilt Chamberlain","C",1960,1973,672
55,"Chris Paul","G",2006,2021,672
56,"Magic Johnson","G",1980,1996,670
57,"Dwight Howard","C",2005,2021,669
58,"Andre Miller","G",2000,2016,666
59,"Clyde Drexler","G",1984,1998,665
60,"Joe Johnson","G",2002,2018,663
61,"Terry Cummings","F",1983,2000,661
62,"Larry Bird","F",1980,1992,660
63,"Richard Jefferson","F",2002,2018,659
64,"Charles Barkley","F",1985,2000,658
65,"Tree Rollins","C",1978,1995,657
66,"Jeff Hornacek","G",1987,2000,655
67,"Elvin Hayes","F",1969,1984,654
68,"Don Nelson","F",1963,1976,652
69,"Chet Walker","F",1963,1975,648
70,"Dale Davis","F",1992,2007,641
71,"Michael Finley","G",1996,2010,641
72,"Tom Sanders","F",1961,1973,639
