Week,This_Week,Last_Week,End_2019,Name,Average_Points,Total_Points,Events_Played_Divisor,Points_Lost_2020,Points_Gained_2020,Events_Played_Actual,Pro/Am
11,1,1,2,Rory McIlroy,9.4474,444.03,47,-85.08,61.59,47,Pro
11,2,2,3,Jon Rahm,8.4798,407.03,48,-64.65,75.22,48,Pro
11,3,3,1,Brooks Koepka,7.7292,347.81,45,-89.28,9.48,45,Pro
11,4,4,4,Justin Thomas,7.4113,340.92,46,-69.27,77.52,46,Pro
11,5,5,5,Dustin Johnson,6.4491,270.86,42,-69.22,49.3,42,Pro
11,6,9,13,Adam Scott,5.9723,250.83,42,-36.45,73.5,42,Pro
11,7,8,12,Patrick Reed,5.8668,305.08,52,-54.86,111.21,59,Pro
11,7,6,7,Patrick Cantlay,5.8668,252.27,43,-50.5,26.43,43,Pro
11,9,7,11,Webb Simpson,5.84,256.96,44,-49.32,72.4,44,Pro
11,10,10,10,Tommy Fleetwood,5.5753,289.92,52,-53.86,50.47,56,Pro
11,11,11,6,Tiger Woods,5.438,217.52,40,-52.35,6.75,30,Pro
11,12,12,9,Xander Schauffele,5.3759,274.17,51,-57.32,41.85,51,Pro
11,13,13,14,Bryson DeChambeau,5.1513,262.72,51,-65.43,83.23,51,Pro
11,14,14,8,Justin Rose,5.0164,235.77,47,-68.84,16.87,47,Pro
11,15,15,28,Marc Leishman,4.79,229.92,48,-34.65,99.98,48,Pro
11,16,16,16,Tony Finau,4.6247,240.48,52,-52.75,52.26,56,Pro
11,17,17,24,Matt Kuchar,4.4298,230.35,52,-40.45,70.06,53,Pro
11,18,18,17,Gary Woodland,4.3799,219,50,-44.14,24.57,50,Pro
11,19,19,20,Louis Oosthuizen,4.3328,199.31,46,-33.33,35.49,46,Pro
11,20,20,19,Shane Lowry,4.2695,213.48,50,-37.09,27.69,50,Pro
11,21,22,32,Tyrrell Hatton,4.2295,207.25,49,-29.11,78.6,49,Pro
11,22,21,21,Hideki Matsuyama,4.1422,215.4,52,-35.06,36.43,55,Pro
11,23,23,34,Sungjae Im,4.0428,210.22,52,-25.67,87.03,72,Pro
11,24,24,15,Paul Casey,3.9941,199.71,50,-47.42,17.04,50,Pro
11,25,25,25,Matthew Fitzpatrick,3.7882,196.99,52,-33.67,37.39,55,Pro
11,26,26,22,Bernd Wiesberger,3.7711,150.85,40,-21.4,9.77,36,Pro
11,27,27,23,Rickie Fowler,3.4985,150.43,43,-39.87,22.05,43,Pro
11,28,28,18,Francesco Molinari,3.4597,148.77,43,-54.37,1.4,43,Pro
11,29,29,38,Abraham Ancer,3.1349,163.01,52,-25.79,44.93,58,Pro
11,30,31,27,Kevin Na,3.1066,152.23,49,-32.59,21.59,49,Pro
11,31,30,59,Lee Westwood,3.0693,135.05,44,-15.86,65.77,44,Pro
11,32,32,26,Henrik Stenson,3.0643,134.83,44,-25.78,4.53,44,Pro
11,33,33,29,Danny Willett,2.8612,148.78,52,-25.78,8.14,52,Pro
11,34,34,33,Billy Horschel,2.7264,141.77,52,-30.83,20.51,54,Pro
11,35,37,53,Cameron Smith,2.7212,138.78,51,-27.24,49.99,51,Pro
11,36,35,35,Kevin Kisner,2.7001,140.41,52,-32.29,22.33,52,Pro
11,37,36,36,Chez Reavie,2.691,139.93,52,-28.24,16.46,56,Pro
11,38,38,39,Sergio Garcia,2.6213,131.07,50,-27.85,22.87,50,Pro
11,39,40,40,Jazz Janewattananond,2.6021,135.31,52,-19.64,17.8,65,Pro
11,40,41,45,Victor Perez,2.6001,130,50,-16.68,28.33,50,Pro
11,41,39,31,Shugo Imahira,2.5936,134.87,52,-23.16,,59,Pro
11,42,42,49,Erik van Rooyen,2.579,134.11,52,-18.89,33.12,57,Pro
11,43,43,30,Matt Wallace,2.4887,129.41,52,-33.66,5.78,59,Pro
11,44,44,65,Collin Morikawa,2.4558,98.23,40,-9.77,30.4,21,Pro
11,45,47,66,Scottie Scheffler,2.3967,95.87,40,-10.04,28.39,40,Pro
11,46,45,41,Rafa Cabrera Bello,2.3963,124.61,52,-30.4,16.36,59,Pro
11,47,48,87,Christiaan Bezuidenhout,2.3929,124.43,52,-11.94,52.03,60,Pro
11,48,46,46,Brandt Snedeker,2.3847,124,52,-25.09,27.11,52,Pro
11,49,51,121,Graeme McDowell,2.3761,116.43,49,-12.38,64.82,49,Pro
11,50,49,42,Byeong Hun An,2.3633,122.89,52,-27.14,21.29,55,Pro
11,51,50,37,Jason Day,2.343,98.41,42,-33.59,16.92,42,Pro
11,52,52,86,Sunghoon Kang,2.2809,118.61,52,-15.02,47.33,56,Pro
11,53,53,47,Bubba Watson,2.2574,99.33,44,-37.32,31.72,44,Pro
11,54,54,63,Brendon Todd,2.1844,87.38,40,-5.75,14.5,35,Pro
11,55,55,50,Adam Hadwin,2.1261,97.8,46,-22.9,5.21,46,Pro
11,56,56,44,Jordan Spieth,2.1069,99.03,47,-27.26,7.29,47,Pro
11,57,58,93,Viktor Hovland,2.0985,83.94,40,-8.46,30.03,26,Pro
11,58,57,43,Ian Poulter,2.0703,107.66,52,-31.5,12.12,52,Pro
11,59,59,54,Tom Lewis,2.05,106.6,52,-19.63,16.26,56,Pro
11,60,60,56,Shaun Norris,2.0475,106.47,52,-15.73,14.82,61,Pro
11,61,63,70,Phil Mickelson,1.9744,92.8,47,-28.5,31.84,47,Pro
11,62,62,48,Andrew Putnam,1.9651,98.25,50,-25.36,5,50,Pro
11,62,61,51,Keegan Bradley,1.9651,102.19,52,-28.18,11.95,54,Pro
11,64,65,201,Lucas Herbert,1.8957,90.99,48,-9.45,62.48,48,Pro
11,65,64,52,Eddie Pepperell,1.8859,82.98,44,-23.93,5.33,44,Pro
11,66,66,60,Corey Conners,1.884,97.97,52,-17.49,10.81,59,Pro
11,67,67,64,Robert MacIntyre,1.8659,97.03,52,-13.74,9.34,58,Pro
11,68,68,75,Kurt Kitayama,1.8599,93,50,-13.29,16.44,50,Pro
11,69,70,61,Chan Kim,1.846,73.84,40,-8.83,2.55,28,Pro
11,70,69,101,Joel Dahmen,1.8454,95.96,52,-14.82,34,57,Pro
11,71,71,130,Max Homa,1.8333,95.33,52,-10.21,39.73,58,Pro
11,72,77,62,Jason Kokrak,1.8166,90.83,50,-19.29,9.08,50,Pro
11,73,72,82,Thomas Pieters,1.8138,94.32,52,-16.29,20.28,52,Pro
11,74,74,127,Branden Grace,1.8123,94.24,52,-16.83,44.54,54,Pro
11,75,73,67,Mike Lorenzo-Vera,1.8093,81.42,45,-14.18,9.11,45,Pro
11,76,76,77,J.T. Poston,1.7952,93.35,52,-14.84,14.16,56,Pro
11,77,75,55,Charles Howell III,1.7896,93.06,52,-22.49,5.62,55,Pro
11,78,78,58,Joaquin Niemann,1.7614,91.59,52,-16.99,11.84,53,Pro
11,79,79,91,Ryan Palmer,1.7583,77.37,44,-14.67,21.81,44,Pro
11,80,80,73,Paul Waring(Feb1985),1.7523,77.1,44,-13.1,6.38,44,Pro
11,81,81,88,Nate Lashley,1.7487,80.44,46,-11.01,20.16,46,Pro
11,82,82,79,Matthias Schwab,1.6904,87.9,52,-12.96,8.91,56,Pro
11,83,83,78,Cameron Champ,1.6814,87.43,52,-16.11,11.1,57,Pro
11,84,84,100,Jorge Campillo,1.6753,87.12,52,-17.27,25.91,54,Pro
11,85,85,57,Jim Furyk,1.6671,66.68,40,-15.67,,37,Pro
11,86,88,119,Lanto Griffin,1.649,85.75,52,-10.17,27.07,57,Pro
11,87,86,68,Haotong Li,1.6457,85.58,52,-22.24,6.05,54,Pro
11,88,87,90,Danny Lee,1.6415,85.36,52,-14.84,16.63,55,Pro
11,89,89,71,Lucas Glover,1.6182,76.05,47,-15.86,1.28,47,Pro
11,90,90,83,Marcus Kinhult,1.5837,74.43,47,-12.58,3.65,47,Pro
11,91,93,122,Kevin Streelman,1.5742,81.86,52,-13.52,27.96,54,Pro
11,92,92,99,Matt Jones,1.5734,81.82,52,-9.04,12.69,57,Pro
11,93,91,89,Benjamin Hebert,1.5703,78.51,50,-12.57,10.36,50,Pro
11,94,94,104,Juan Sebastian Munoz,1.563,81.28,52,-11.93,17.92,62,Pro
11,95,99,95,J.B. Holmes,1.5601,70.21,45,-17.89,15.76,45,Pro
11,96,95,98,Keith Mitchell,1.5544,80.83,52,-17.72,20.45,56,Pro
11,97,96,80,Ryo Ishikawa,1.5516,71.37,46,-10.96,1.35,46,Pro
11,98,98,85,Joost Luiten,1.5381,61.52,40,-12.66,6.74,39,Pro
11,99,97,69,C.T. Pan,1.5324,79.68,52,-20.01,,54,Pro
11,100,101,108,Scott Piercy,1.5313,78.1,51,-14.54,19.38,51,Pro
11,101,100,103,Vaughn Taylor,1.5065,78.34,52,-11.64,13.79,53,Pro
11,102,104,233,Nick Taylor,1.5001,78.01,52,-6.77,46.43,57,Pro
11,103,102,84,Rory Sabbatini,1.4999,78,52,-16.02,6.11,55,Pro
11,104,105,134,Brad Kennedy,1.4838,66.77,45,-8.13,19.44,45,Pro
11,105,103,74,Andrea Pavan,1.483,77.12,52,-18.54,,58,Pro
11,106,106,115,Adri Arnaus,1.4596,75.9,52,-12.99,18.32,60,Pro
11,107,107,154,Daniel Berger,1.4513,63.86,44,-11.78,28.56,44,Pro
11,108,111,96,Ryan Moore,1.4506,63.83,44,-16.53,11.27,44,Pro
11,109,108,116,Adam Long,1.4427,75.02,52,-12.04,16.7,64,Pro
11,110,110,117,Matthew Wolff,1.4398,57.59,40,-7.19,10.36,18,Pro
11,111,109,72,Justin Harding,1.432,74.46,52,-22.51,5.88,61,Pro
11,112,112,75,Alex Noren,1.4196,72.4,51,-28.48,7.36,51,Pro
11,113,113,228,Andrew Landry,1.4064,71.73,51,-11.23,44.08,51,Pro
11,114,114,118,Thomas Detry,1.4027,72.94,52,-10.73,13.19,55,Pro
11,115,115,125,Martin Kaymer,1.399,72.75,52,-12.16,18.2,56,Pro
11,116,117,102,Dylan Frittelli,1.3407,69.72,52,-14.78,6.61,60,Pro
11,117,116,106,Rikuya Hoshino,1.3399,69.68,52,-12.93,7.83,53,Pro
11,118,119,94,Junggon Hwang,1.3229,68.79,52,-11.72,,52,Pro
11,119,118,81,Lucas Bjerregaard,1.3214,68.71,52,-22,,54,Pro
11,120,122,175,JC Ritchie,1.2941,53.06,41,-8.36,23.62,41,Pro
11,121,120,111,Romain Langasque,1.2682,65.95,52,-11.97,4.21,56,Pro
11,122,123,157,Joohyung Kim(June2002),1.2576,50.31,40,-4.37,13.75,30,Pro
11,123,121,110,Russell Knox,1.2497,64.98,52,-18.98,10.06,58,Pro
11,124,124,124,Harold Varner III,1.2462,64.8,52,-12.57,10.75,55,Pro
11,125,125,109,Guido Migliozzi,1.2297,59.03,48,-9.01,6.48,48,Pro
11,126,133,169,Bud Cauley,1.2241,50.19,41,-7.59,19.06,41,Pro
11,127,127,240,Tom Hoge,1.2166,63.27,52,-7.01,32.57,62,Pro
11,128,128,120,Francesco Laporta,1.209,58.03,48,-7.35,5.2,48,Pro
11,129,129,142,Carlos Ortiz,1.2063,62.73,52,-8.57,12.1,59,Pro
11,130,126,107,Emiliano Grillo,1.2034,62.58,52,-20.84,10.12,52,Pro
11,131,130,148,Ryan Fox,1.1985,62.32,52,-14.06,19.2,55,Pro
11,132,132,151,Gunn Charoenkul,1.1983,62.31,52,-5.86,11.97,54,Pro
11,133,134,242,Min Woo Lee,1.1966,47.86,40,-3.46,22.56,29,Pro
11,134,131,97,Siwoo Kim,1.1886,61.81,52,-19.85,2.49,60,Pro
11,135,135,139,Harry Higgs,1.1792,61.32,52,-7.82,14.13,53,Pro
11,136,137,123,Brian Harman,1.1653,60.59,52,-14.89,8.51,55,Pro
