"publisher","name","identity","appearances"
"Marvel","Spider-Man","Secret",4043
"Marvel","Captain America","Public",3360
"Marvel","Wolverine","Public",3061
"Marvel","Iron Man","Public",2961
"Marvel","Benjamin Grimm","Public",2255
"Marvel","Reed Richards","Public",2072
"Marvel","Hulk","Public",2017
"Marvel","Scott Summers","Public",1955
"Marvel","Jonathan Storm","Public",1934
"Marvel","Henry McCoy","Public",1825
"Marvel","Susan Storm","Public",1713
"Marvel","Ororo Munroe","Public",1512
"Marvel","Clinton Barton","Public",1394
"Marvel","Matthew Murdock","Public",1338
"Marvel","Stephen Strange","Public",1307
"Marvel","Robert Drake","Secret",1265
"Marvel","Henry Pym","Public",1237
"Marvel","Charles Xavier","Public",1233
"Marvel","Warren Worthington III","Public",1230
"Marvel","Piotr Rasputin","Secret",1162
"Marvel","Wanda Maximoff","Public",1161
"Marvel","Janet van Dyne","Public",1120
"Marvel","Jean Grey","Public",1107
"Marvel","Natalia Romanova","Public",1050
"Marvel","Kurt Wagner","Secret",1047
"Marvel","Vision","Secret",1007
"Marvel","Katherine Pryde","Secret",886
"Marvel","Carol Danvers","Public",881
"Marvel","Jennifer Walters","Public",881
"Marvel","Emma Frost","Public",880
"Marvel","Frank Castle","Public",878
"Marvel","Rogue (Anna Marie)","Secret",850
"Marvel","Pietro Maximoff","Public",740
"Marvel","Victor von Doom","Public",721
"Marvel","Max Eisenhardt","Public",709
"Marvel","Elizabeth Braddock","Secret",708
"Marvel","Norrin Radd","Public",696
"Marvel","Norman Osborn","Public",692
"Marvel","Eugene Thompson","Secret",689
"Marvel","Simon Williams","Public",686
"Marvel","Samuel Guthrie","Secret",657
"Marvel","James Buchanan Barnes","Secret",641
"Marvel","Remy LeBeau","Secret",636
"Marvel","Daniel Rand","Secret",618
"Marvel","Nathan Summers","Public",612
"Marvel","Richard Jones","Secret",590
"Marvel","Alexander Summers","Public",558
"Marvel","Patricia Walker","Secret",550
"Marvel","Human Torch (Android)","Public",548
"Marvel","Brian Braddock","Public",528
"Marvel","Otto Octavius","Secret",526
"Marvel","James Rhodes","Secret",525
"Marvel","Timothy Dugan","Public",517
"Marvel","Crystalia Amaquelin","Public",512
"Marvel","Samuel Wilson","Public",512
"Marvel","Wilson Fisk","Public",503
"Marvel","Odin Borson","Public",502
"Marvel","Deadpool","Secret",500
"Marvel","Dane Whitman","Secret",478
"Marvel","Jessica Drew","Secret",471
"Marvel","Roberto da Costa","Secret",464
"Marvel","Rahne Sinclair","Secret",448
"Marvel","Elizabeth Ross","Public",446
"Marvel","Lorna Dane","Secret",433
"Marvel","Blaine Colt","Public",429
"Marvel","Johnathon Blaze","Secret",426
"Marvel","Red Hulk","Public",415
"Marvel","Jubilation Lee","Secret",408
"Marvel","Volstagg","Public",406
"Marvel","Balder Odinson","Secret",403
"Marvel","Galactus","Secret",390
"Marvel","Danielle Moonstar","Secret",388
"Marvel","Marc Spector","Secret",387
"Marvel","Medusalith Amaquelin","Public",382
"Marvel","Sabretooth","Secret",382
"Marvel","Illyana Rasputina","Secret",380
"Marvel","Johann Shmidt","Public",376
"Marvel","Fandral","Secret",375
"Marvel","Sean Cassidy","Secret",374
"Marvel","Thomas Raymond","Secret",373
"Marvel","Uatu","Public",373
"Marvel","Richard Rider","Public",373
"Marvel","Hogun","Public",371
"Marvel","Raven Darkholme","Secret",371
"Marvel","Barbara Morse","Secret",368
"Marvel","Brunnhilde","Secret",361
"Marvel","Alison Blaire","Public",353
"Marvel","John Walker","Secret",346
"Marvel","Greer Grant","Public",342
"Marvel","Karla Sofen","Public",340
"Marvel","William Baker","Secret",338
"Marvel","Sharon Carter","Public",332
"Marvel","Felicia Hardy","Public",332
"Marvel","Cain Marko","Public",329
"Marvel","Monica Rambeau","Secret",327
"Marvel","Heather Douglas","Secret",323
"Marvel","Millicent Collins","Public",321
"Marvel","James Proudstar","Secret",320
"Marvel","Edward Brock","Public",318
"Marvel","MacDonald Gargan","Secret",317
"Marvel","Tabitha Smith","Secret",316
"Marvel","Jean-Paul Beaubier","Secret",313
"Marvel","Daniel Ketch","Secret",311
"Marvel","Neena Thurman","Secret",310
"Marvel","Robert Baldwin","Secret",293
"Marvel","Vance Astrovik","Public",290
"Marvel","Wendell Vaughn","Secret",290
"Marvel","Chili Storm","Public",284
"Marvel","Abner Jenkins","Public",284
"Marvel","Elektra Natchios","Secret",280
"Marvel","Bullseye (Lester)","Secret",277
"Marvel","Forge","Public",276
"Marvel","Walter Langkowski","Secret",273
"Marvel","Gorgon","Secret",272
"Marvel","James Madrox","Public",271
"Marvel","Heimdall","Secret",270
"Marvel","Theresa Cassidy","Secret",267
"Marvel","Laura Kinney","Secret",265
"Marvel","Arthur Douglas","Secret",264
"Marvel","Peter Parker (Ben Reilly)","Secret",263
"Marvel","Warlock (Technarch)","Secret",261
"Marvel","Kevin Plunder","Public",260
"Marvel","Leonard Samson","Public",260
"Marvel","Melissa Gold","Secret",260
"Marvel","Lockheed","Secret",260
"Marvel","Mercedes Knight","Public",259
"Marvel","Karnak","Secret",257
"Marvel","Namorita Prentiss","Public",257
"Marvel","Lockjaw","Secret",255
"Marvel","Heather McNeil","Public",252
"Marvel","Curtis Connors","Public",250
"Marvel","Theodore Sallis","Secret",249
"Marvel","Adrian Toomes","Public",248
"Marvel","Amora","Public",247
"Marvel","Mar-Vell","Public",245
"Marvel","Eugene Judd","Public",245
