"name","month","day","year","lat","long","status","category","wind","pressure"
"AL011993",6,1,1993,25.4,-77.5,"tropical depression","-1",30,999
"AL012000",6,7,2000,21,-93,"tropical depression","-1",25,1008
"AL021992",6,25,1992,25.7,-85.5,"tropical depression","-1",30,1007
"AL021994",7,20,1994,33,-79.1,"tropical depression","-1",30,1015
"AL021999",7,2,1999,20.2,-95,"tropical depression","-1",30,1006
"AL022000",6,23,2000,9.6,-21,"tropical depression","-1",30,1009
"AL022001",7,11,2001,10.9,-42.1,"tropical depression","-1",25,1011
"AL022003",6,11,2003,9.5,-40.8,"tropical depression","-1",30,1009
"AL022006",7,17,2006,41.1,-63.7,"tropical storm","0",45,998
"AL031987",8,10,1987,28.4,-94.4,"tropical storm","0",40,1008
"AL031992",7,25,1992,28.8,-62.7,"tropical depression","-1",30,1016
"AL041991",8,24,1991,14.9,-23.9,"tropical depression","-1",30,1009
"AL042000",8,8,2000,28.2,-74.2,"tropical depression","-1",30,1011
"AL051994",8,29,1994,20.5,-93,"tropical depression","-1",30,1007
"AL061988",9,8,1988,17.5,-20.5,"tropical storm","0",50,1002
"AL061995",8,6,1995,21.2,-96.7,"tropical depression","-1",30,1003
"AL061997",7,17,1997,12.5,-52.7,"tropical depression","-1",30,1008
"AL062003",7,19,2003,12.3,-43.5,"tropical depression","-1",30,1010
"AL071999",9,6,1999,22,-96.7,"tropical depression","-1",30,1006
"AL072002",9,7,2002,24.3,-47.5,"tropical depression","-1",30,1013
"AL072003",7,26,2003,30.7,-80.8,"tropical depression","-1",30,1016
"AL081992",9,25,1992,11.1,-36.2,"tropical depression","-1",30,1011
"AL081994",9,24,1994,16.3,-85.1,"tropical depression","-1",30,1007
"AL091994",9,27,1994,13.8,-20.8,"tropical depression","-1",30,1008
"AL092000",9,8,2000,28,-93.5,"tropical depression","-1",30,1008
"AL092001",9,19,2001,13.4,-81.9,"tropical depression","-1",30,1008
"AL092003",8,21,2003,14.5,-65.5,"tropical depression","-1",30,1009
"AL101991",10,24,1991,13.4,-42.3,"tropical depression","-1",25,1009
"AL101993",9,29,1993,30,-63.2,"tropical depression","-1",30,1012
"AL101994",9,29,1994,22,-85,"tropical depression","-1",30,1006
"AL102004",9,9,2004,35.3,-35,"tropical depression","-1",30,1012
"AL111999",10,4,1999,20.1,-94.1,"tropical depression","-1",30,1005
"AL121991",11,1,1991,38.2,-66.5,"hurricane","1",65,980
"AL121999",10,6,1999,14.4,-44.8,"tropical depression","-1",30,1008
"AL141995",9,11,1995,22.6,-52.2,"tropical depression","-1",30,1008
"AL142002",10,14,2002,16.9,-82.6,"tropical depression","-1",30,1008
"AL142003",9,9,2003,12.4,-24.4,"tropical depression","-1",30,1007
"Al202011",9,1,2011,37.4,-63.7,"tropical storm","0",40,1004
"Alberto",8,12,2000,35.9,-55.3,"hurricane","3",110,950
"Alex",8,5,2004,38.5,-66,"hurricane","3",105,957
"Alicia",8,18,1983,28.9,-95,"hurricane","3",100,963
"Allison",6,4,1995,24.7,-86.2,"hurricane","1",65,987
"Amelia",7,31,1978,26.4,-97.4,"tropical storm","0",45,1005
"Amy",6,30,1975,35.9,-70.5,"tropical storm","0",60,987
"Ana",7,19,1985,44.2,-60.3,"tropical storm","0",60,996
"Andrea",6,6,2013,27.8,-84.9,"tropical storm","0",55,995
"Andrew",8,23,1992,25.4,-75.8,"hurricane","5",150,922
"Anita",9,2,1977,24.2,-97.1,"hurricane","5",150,926
"Arthur",7,4,2014,34,-77.3,"hurricane","2",85,975
"Barry",8,28,1983,25.4,-97.4,"hurricane","1",70,986
"Belle",8,9,1976,30.9,-75.3,"hurricane","3",105,957
"Beryl",8,31,1982,17.2,-36.4,"tropical storm","0",60,992
"Bess",8,7,1978,21.6,-96.6,"tropical storm","0",45,1006
"Beta",10,30,2005,13.3,-83.1,"hurricane","3",100,962
"Bill",8,19,2009,17.6,-54.2,"hurricane","4",115,954
"Bob",8,19,1991,36.5,-74.5,"hurricane","3",100,950
"Bonnie",8,23,1998,24.1,-71.5,"hurricane","3",100,958
"Caroline",8,31,1975,24,-97,"hurricane","3",100,973
"Cesar",7,28,1996,12.2,-83.9,"hurricane","1",75,985
"Chantal",8,1,1989,28.7,-93.5,"hurricane","1",70,987
"Charley",8,13,2004,26.6,-82.2,"hurricane","4",130,941
"Chris",6,21,2012,40.5,-43.9,"hurricane","1",75,974
"Clara",9,8,1977,35.5,-67.7,"hurricane","1",65,993
"Claudette",9,7,1991,27,-61.5,"hurricane","4",115,944
"Colin",8,5,2010,25,-66.1,"tropical storm","0",50,1005
"Cora",8,9,1978,14,-44.9,"hurricane","1",80,980
"Cristobal",8,28,2014,37.5,-63.6,"hurricane","1",75,971
"Danielle",8,27,2010,27.1,-60.1,"hurricane","4",115,942
"Danny",8,21,2015,13.8,-47.8,"hurricane","3",110,960
"David",8,30,1979,16.6,-66.2,"hurricane","5",150,924
"Dean",8,21,2007,18.6,-86.9,"hurricane","5",150,907
"Debby",9,18,1982,38.8,-62.3,"hurricane","4",115,950
"Diana",9,12,1984,33.9,-77.7,"hurricane","4",115,949
"Don",7,29,2011,24.6,-91.9,"tropical storm","0",45,997
"Dorian",7,25,2013,15.3,-33.9,"tropical storm","0",50,1002
"Doris",9,2,1975,36.4,-44.5,"hurricane","2",95,965
"Edouard",8,25,1996,15.4,-47,"hurricane","4",125,933
"Eight",9,25,2009,16.1,-31.1,"tropical depression","-1",30,1008
"Emily",7,17,2005,17.1,-79.5,"hurricane","5",140,929
"Epsilon",12,5,2005,34,-36.7,"hurricane","1",75,981
"Erika",9,8,1997,23.2,-62.5,"hurricane","3",110,952
"Erin",9,9,2001,32.4,-62.8,"hurricane","3",105,968
"Ernesto",8,8,2012,18.8,-87.7,"hurricane","2",85,973
