"artist","track","year","month","day","n_weeks","max_rank"
"Beenie Man","Girls Dem Sugar","2000","10","21",15,54
"Simpson, Jessica","I Think I'm In Love ...","2000","07","01",16,21
"Cagle, Chris","My Love Goes On And ...","2000","10","21",11,76
"Pink","There U Go","2000","03","04",32,7
"Loveless, Patty","That's The Kind Of M...","2000","09","16",14,71
"Red Hot Chili Peppers","Otherside","2000","02","12",22,14
"Third Eye Blind","Deep Inside Of You","2000","09","02",12,69
"Dr. Dre","Forgot About Dre","2000","01","22",20,25
"DMX","What You Want","2000","07","01",20,49
"Tuesday","I Know","2000","12","30",2,98
"McGraw, Tim","My Next Thirty Years","2000","10","21",20,27
"Dixie Chicks, The","Without You","2000","10","07",20,31
"Fatboy Slim","The Rockafeller Skan...","1999","11","13",12,76
"Hill, Faith","Let's Make Love","2000","08","12",14,54
"A*Teens","Dancing Queen","2000","07","08",5,95
"Nine Days","Absolutely (Story Of...","2000","05","06",27,6
"Chesney, Kenny","What I Need To Do","2000","04","01",17,56
"Zombie Nation","Kernkraft 400","2000","09","02",2,99
"Destiny's Child","Jumpin' Jumpin'","2000","05","13",32,3
"Spears, Britney","From The Bottom Of M...","2000","01","29",20,14
"Martin, Ricky","She Bangs","2000","10","07",18,12
"Ginuwine","None Of Ur Friends B...","1999","12","11",15,48
"Spears, Britney","Lucky","2000","08","12",11,23
"TLC","Dear Lie","2000","02","12",7,51
"Foo Fighters","Learn To Fly","1999","10","16",21,19
"Smith, Will","Freakin' It","2000","02","12",4,99
"Funkmaster Flex","Do You","2000","11","11",7,91
"Dr. Dre","The Next Episode","2000","05","27",20,23
"Smash Mouth","Then The Morning Com...","1999","10","30",26,11
"Guy","Dancin'","1999","12","18",11,19
"Q-Tip","Breathe And Stop","2000","01","22",5,71
"Kid Rock","Only God Knows Why","2000","02","19",20,19
"Sisqo","Incomplete","2000","06","24",26,1
"Rimes, LeAnn","I Need You","2000","05","27",25,11
"Joe","Treat Her Like A Lad...","2000","08","05",17,63
"Aguilera, Christina","What A Girl Wants","1999","11","27",24,1
"Counting Crows","Hanginaround","1999","11","06",20,28
"Braxton, Toni","He Wasn't Man Enough","2000","03","18",37,2
"Mumba, Samantha","Gotta Tell You","2000","09","09",22,4
"Baha Men","Who Let The Dogs Out","2000","07","22",20,40
"Ruff Endz","No More","2000","07","01",26,5
"Levert, Gerald","Mr. Too Damn Good","2000","03","18",8,76
"Thomas, Carl","Summer Rain","2000","09","23",11,80
"SheDaisy","This Woman Needs","2000","02","05",9,57
"Carey, Mariah","Thank God I Found Yo...","1999","12","11",20,1
"Lawrence, Tracy","Lessons Learned","2000","01","29",20,40
"Houston, Whitney","Could I Have This Ki...","2000","06","17",20,52
"De La Soul","All Good?","2000","12","23",3,96
