car,mpg,cyl,hp,wt,vs,am,gear
Hornet 4 Drive,21.4,6,110,3.215,1,0,3
Merc 450SE,16.4,8,180,4.07,0,0,3
Dodge Challenger,15.5,8,150,3.52,0,0,3
Merc 450SLC,15.2,8,180,3.78,0,0,3
Fiat 128,32.4,4,66,2.2,1,1,4
Volvo 142E,21.4,4,109,2.78,1,1,4
Toyota Corolla,33.9,4,65,1.835,1,1,4
Cadillac Fleetwood,10.4,8,205,5.25,0,0,3
Lincoln Continental,10.4,8,215,5.424,0,0,3
Honda Civic,30.4,4,52,1.615,1,1,4
Duster 360,14.3,8,245,3.57,0,0,3
Valiant,18.1,6,105,3.46,1,0,3
Porsche 914-2,26,4,91,2.14,0,1,5
Datsun 710,22.8,4,93,2.32,1,1,4
Pontiac Firebird,19.2,8,175,3.845,0,0,3
Mazda RX4,21,6,110,2.62,0,1,4
