pokedex_number,name,type,total,hp,attack,defense,spatk,spdef,speed,generation,legendary,bug_type,dark_type,dragon_type,electric_type,fairy_type,fighting_type,fire_type,flying_type,ghost_type,grass_type,ground_type,ice_type,normal_type,poison_type,psychic_type,rock_type,steel_type,water_type
1,Bulbasaur,Grass,318,45,49,49,65,65,45,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Ivysaur,Grass,405,60,62,63,80,80,60,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Venusaur,Grass,525,80,82,83,100,100,80,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,VenusaurMega Venusaur,Grass,625,80,100,123,122,120,80,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Charmander,Fire,309,39,52,43,60,50,65,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Charizard,Fire,534,78,84,78,109,85,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CharizardMega Charizard X,Fire,634,78,130,111,130,85,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CharizardMega Charizard Y,Fire,634,78,104,78,159,115,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,Water,314,44,48,65,50,64,43,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Wartortle,Water,405,59,63,80,65,80,58,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blastoise,Water,530,79,83,100,85,105,78,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,BlastoiseMega Blastoise,Water,630,79,103,120,135,115,78,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Caterpie,Bug,195,45,30,35,20,20,45,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Metapod,Bug,205,50,20,55,25,25,30,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Butterfree,Bug,395,60,45,50,90,80,70,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Weedle,Bug,195,40,35,30,20,20,50,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Kakuna,Bug,205,45,25,50,25,25,35,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Beedrill,Bug,395,65,90,40,45,80,75,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,BeedrillMega Beedrill,Bug,495,65,150,40,15,80,145,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pidgey,Normal,251,40,45,40,35,35,56,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,Pidgeotto,Normal,349,63,60,55,50,50,71,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Pidgeot,Normal,479,83,80,75,70,70,101,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,PidgeotMega Pidgeot,Normal,579,83,80,80,135,80,121,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Rattata,Normal,253,30,56,35,25,35,72,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Raticate,Normal,413,55,81,60,50,70,97,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Spearow,Normal,262,40,60,30,31,31,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Fearow,Normal,442,65,90,65,61,61,100,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Ekans,Poison,288,35,60,44,40,54,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Arbok,Poison,438,60,85,69,65,79,80,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Pikachu,Electric,320,35,55,40,50,50,90,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Raichu,Electric,485,60,90,55,90,80,110,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
