"subject","course","textbook_isbn","bookstore_new","bookstore_used","amazon_new","amazon_used"
"American Indian Studies","Introduction to American Indian Studies",9781138477858,47.97,44.97,47.45,51.2
"Anthropology","Archaeology: Introduction",9780307741806,14.26,10.96,13.55,7.1
"Art","New Genres",NA,NA,NA,NA,NA
"Arts and Architecture","Arts Encounters: Exploring Arts Literacy in 21st Century",9780979757549,13.5,11,12.53,NA
"Asian","Introduction to Buddhism",9780199861873,49.26,43.26,54.95,24.83
"Astronomy","Black Holes and Cosmic Catastrophes",9780134073828,119.97,67,124.8,47.75
"Biomedical Research","Biomedical Research: Concepts and Strategies",NA,NA,NA,NA,NA
"Chemistry and Biochemistry","Atomic and Molecular Structure, Equilibria, Acids, and Bases",9781319254292,188.1,149,NA,NA
"Chemistry and Biochemistry","Thermodynamics, Electrochemistry, Kinetics, and Organic Chemistry",9781319016821,215.75,162,NA,90
"Chicana and Chicano Studies","Elementary Nahuatl",NA,NA,NA,NA,NA
"Communication","Introduction to Communication Studies",9780199754144,16.95,12.75,11.77,5.41
"Comparative Literature","Social Media and Storytelling: Comparing Cultures",NA,NA,NA,NA,NA
"Comparative Literature","Survey of Literature: Age of Enlightenment to 20th Century",9780375756887,11.96,9.96,10.87,6.75
"Dance","Beginning Hip-Hop Dance",NA,NA,NA,NA,NA
"Dance","Beginning Martial Arts",9780982203583,26.75,20.25,38.94,NA
"Dance","Beginning Special Topics",NA,NA,NA,NA,NA
"Dance","Theories and Methods in Dance Composition I: Languages",NA,NA,NA,NA,NA
"Dance","Yoga",NA,NA,NA,NA,NA
"Design / Media Arts","Form",NA,NA,NA,NA,NA
"Ecology and Evolutionary Biology","Evolutionary Medicine: How Natural Selection Helps Us Understand Why We Get Sick",NA,NA,NA,NA,NA
"Ecology and Evolutionary Biology","Variable Topics in Ecology and Evolutionary Biology",NA,NA,NA,NA,NA
"Ecology and Evolutionary Biology","Why Ecology Matters: Science Behind Environmental Issues",9789891812695,37,NA,NA,191.05
"Economics","Understanding Federal Spending",NA,NA,NA,NA,NA
